city,country,latitude,longitude,max_temp,humidity,cloudiness,Wind speed
lucapa,AO,-8.42,20.74,18.1,97,95,1.16
uige,AO,-7.61,15.06,19.04,97,100,0.7
bongandanga,CD,1.51,21.07,22.36,49,29,0.9
bandundu,CD,-3.32,17.38,22.79,92,100,1.11
lubumbashi,CD,-11.66,27.48,17.09,96,100,0.86
yokadouma,CM,3.52,15.05,19.57,43,1,1.15
thabazimbi,ZA,-24.59,27.41,20.55,51,48,1.71
luderitz,NA,-26.65,15.16,16.0,100,94,3.6
am timan,TD,11.04,20.28,19.93,32,0,2.12
maun,BW,-19.99,23.42,21.0,100,75,1.0
nchelenge,ZM,-9.35,28.74,21.0,91,100,3.19
esna,RO,45.2,27.57,-3.69,75,0,3.78
windhoek,NA,-22.57,17.08,19.0,59,59,2.1
mbaiki,CF,3.87,17.99,21.02,40,17,1.32
binga,ZW,-17.62,27.34,23.65,87,100,3.17
tsabong,BW,-26.02,22.4,21.05,78,74,4.98
adre,TD,13.47,22.2,17.15,23,5,6.09
mufumbwe,ZM,-13.68,24.8,17.27,97,100,1.61
mao,DO,19.55,-71.08,24.44,94,40,2.1
massakory,TD,13.0,15.73,19.39,17,0,6.34
owando,CG,-0.49,15.91,23.49,65,100,0.38
moissala,TD,8.34,17.77,21.15,37,0,1.98
kasongo,CD,-4.43,26.67,20.57,98,53,1.54
kibuye,RW,-2.07,29.35,12.87,93,100,1.44
marsa matruh,EG,31.35,27.25,14.45,68,18,13.45
leua,AO,-11.65,20.45,18.07,96,100,1.51
allanridge,ZA,-27.75,26.64,17.22,95,100,3.23
kuruman,ZA,-27.46,23.43,18.33,96,100,4.97
bouar,CF,5.94,15.59,19.5,39,0,2.81
mkushi,ZM,-13.61,29.4,17.29,95,100,1.02
inongo,CD,-1.93,18.29,21.77,96,100,1.21
redcliffe,AU,-31.94,115.94,29.44,37,0,7.7
bethal,ZA,-26.46,29.47,14.44,88,91,2.21
heidelberg,DE,49.41,8.69,4.0,86,0,3.1
mumbwa,ZM,-14.99,27.06,17.87,94,100,2.29
mufulira,ZM,-12.55,28.24,17.01,97,100,0.76
kuito,AO,-12.38,16.94,16.14,96,100,4.82
beni,CD,0.49,29.47,18.49,82,99,1.17
bonwapitse,BW,-23.08,26.7,23.08,43,38,7.93
dekar,BW,-21.53,21.93,22.03,77,100,2.9
rundu,NA,-17.91,19.77,21.0,100,97,2.6
abu zabad,SD,12.35,29.25,17.58,19,70,6.24
ler,NO,63.2,10.3,8.0,61,75,8.7
kanye,BW,-24.98,25.34,21.81,66,100,3.31
aranos,NA,-24.14,19.11,22.08,74,96,2.94
beboto,TD,8.27,16.94,20.24,31,0,2.02
kaputa,ZM,-8.47,29.66,18.13,93,100,0.73
kasangulu,CD,-4.59,15.17,26.0,94,75,0.9
kawambwa,ZM,-9.8,29.07,17.8,95,100,2.01
gweta,BW,-20.21,25.26,22.16,77,22,4.2
boda,CF,4.32,17.47,21.26,39,0,1.62
mwinilunga,ZM,-11.73,24.43,16.93,98,100,1.22
kouango,CF,4.99,19.98,21.86,45,34,1.43
kinshasa,CD,-4.32,15.31,26.0,94,75,0.28
ongandjera,NA,-17.88,15.07,21.6,55,65,1.31
yangambi,CD,0.77,24.47,21.4,68,84,0.81
solwezi,ZM,-12.18,26.4,17.24,97,100,0.16
kabalo,CD,-6.05,26.92,20.36,97,91,0.84
kalemie,CD,-5.95,29.2,17.73,93,97,0.53
masunga,BW,-20.62,27.45,21.14,76,100,3.16
massaguet,TD,12.48,15.44,19.0,20,0,4.1
kalabo,ZM,-15.0,22.67,18.72,84,100,2.48
brazzaville,CD,-4.27,15.27,26.0,94,20,2.1
lusambo,CD,-4.97,23.44,20.45,97,100,0.89
grootfontein,NA,-19.56,18.1,20.21,56,100,2.35
kadoma,JP,34.73,135.6,16.11,59,20,13.9
siavonga,ZW,-16.54,28.71,23.76,83,88,2.46
livingstone,ZW,-17.85,25.86,21.11,88,100,0.38
eenhana,NA,-17.48,16.34,22.0,60,98,2.1
kang,BW,-23.67,22.79,22.04,80,100,2.42
mosetse,BW,-20.64,26.64,23.12,72,98,2.2
melfi,IT,41.0,15.66,6.0,86,90,4.6
damara,CF,4.96,18.7,21.0,94,0,1.11
kamina,CD,-8.74,25.0,18.4,95,100,0.86
mangai,CD,-4.07,19.59,21.27,96,99,1.11
serowe,BW,-22.4,26.7,22.37,59,53,4.03
abeche,TD,13.83,20.83,20.1,21,0,7.58
samfya,ZM,-11.37,29.56,18.05,94,100,0.44
koster,ZA,-25.86,26.9,17.0,67,82,4.96
bulungu,CD,-4.54,18.6,21.28,95,100,1.23
villiers,ZA,-27.03,28.6,14.72,83,67,2.5
kalengwa,ZM,-13.47,25.0,17.14,96,100,1.12
potchefstroom,ZA,-26.71,27.1,17.79,65,98,4.23
hukuntsi,BW,-23.98,21.76,20.81,82,100,4.84
sarh,TD,9.14,18.39,20.0,64,0,2.55
kalakamati,BW,-20.59,27.31,21.14,76,100,3.16
mokobeng,BW,-23.0,27.67,25.11,40,98,7.63
katima mulilo,NA,-17.5,24.28,19.8,88,92,2.23
luena,AO,-11.78,19.91,16.79,96,100,2.44
butare,BI,-3.99,29.99,16.12,85,100,1.31
ndola,ZM,-12.97,28.64,17.59,96,100,1.29
nokaneng,BW,-19.66,22.19,21.4,87,100,2.19
nata,BW,-20.21,26.19,21.78,79,98,3.28
manyana,AU,-35.26,150.51,26.67,57,43,6.2
ratholo,BW,-22.72,27.57,23.3,43,0,5.84
kriel,ZA,-26.26,29.26,14.44,88,72,1.28
mwense,ZM,-10.39,28.7,18.68,96,100,1.07
mwene-ditu,CD,-7.01,23.45,18.88,94,100,1.33
kaniama,CD,-7.57,24.18,18.64,96,99,1.27
hun,BE,50.34,4.87,9.44,93,99,5.7
rafai,CF,4.95,23.92,19.68,36,4,1.48
chongwe,ZM,-15.33,28.68,18.5,90,100,2.46
tsumeb,NA,-19.25,17.72,19.7,60,100,1.79
baoro,CF,5.69,15.95,18.56,43,0,1.53
kaduqli,SD,11.01,29.72,21.24,18,70,8.33
machaneng,BW,-23.19,27.49,25.11,40,98,7.63
cibitoke,BI,-2.89,29.12,15.69,81,65,1.16
gandajika,CD,-6.75,23.95,19.24,93,100,0.87
de aar,ZA,-30.65,24.01,20.34,70,99,6.36
ilebo,CD,-4.33,20.59,20.36,98,100,0.79
caconda,AO,-13.73,15.06,16.4,97,100,1.7
kambove,CD,-10.88,26.6,16.33,94,99,0.92
volksrust,ZA,-27.36,29.88,14.41,75,75,1.57
mpongwe,ZM,-13.51,28.16,17.17,96,100,0.86
danielskuil,ZA,-28.19,23.54,17.77,79,100,5.16
kabompo,ZM,-13.6,24.21,17.46,98,100,1.15
kwekwe,ZW,-18.93,29.81,19.54,83,96,1.21
maltahohe,NA,-24.83,16.98,17.91,45,0,3.27
